Title,Date
"Nailed It!: Season 1: First Date to Life Mate","2020-05-03"
"Arrival","2020-04-29"
"Wallace and Gromit: A Grand Day Out","2020-04-23"
"The Imitation Game","2020-04-19"
"The Disaster Artist","2020-04-17"
"American Graffiti","2020-04-16"
"Chris D'Elia: No Pain","2020-04-16"
"Tiger King: Murder, Mayhem and Madness: Limited Series: Not Your Average Joe","2020-04-16"
"American Factory","2020-04-12"
"WHAT DID JACK DO?","2020-04-03"
"Thunder Road","2020-04-03"
"Impractical Jokers: Season 3: Art Attack","2020-04-02"
"Black Mirror: Season 3: San Junipero","2020-03-29"
"Hereditary","2020-03-19"
"American History X","2020-03-18"
"Good Time","2020-02-27"
"Don't F**k with Cats: Hunting an Internet Killer: Limited Series: Cat and Mouse","2020-02-26"
"Munich","2020-02-22"
"A Quiet Place","2020-02-22"
"Room","2020-02-20"
"Uncut Gems","2020-02-17"
"Shameless (U.S.): Season 9: Black-Haired Ginger","2020-01-31"
"Shameless (U.S.): Season 2: I'll Light a Candle For You Every Day","2020-01-31"
"Fargo: Season 1: Buridan's Ass","2020-01-31"
"Fargo: Season 1: The Six Ungraspables","2020-01-31"
"Fargo: Season 1: Eating the Blame","2020-01-30"
"Fargo: Season 1: A Muddy Road","2020-01-29"
"Fargo: Season 1: The Rooster Prince","2020-01-28"
"Fargo: Season 1: The Crocodile's Dilemma","2020-01-27"
"Shameless (U.S.): Season 2: Summer Loving","2020-01-25"
"Shameless (U.S.): Season 2: Summertime","2020-01-23"
"Shameless (U.S.): Season 1: Father Frank, Full of Grace","2020-01-22"
"Shameless (U.S.): Season 1: Daddyz Girl","2020-01-22"
"Shameless (U.S.): Season 1: Nana Gallagher Had An Affair","2020-01-22"
"Shameless (U.S.): Season 1: But at Last Came a Knock","2020-01-21"
"Shameless (U.S.): Season 1: It's Time To Kill the Turtle","2020-01-19"
"Shameless (U.S.): Season 1: Frank Gallagher: Loving Husband, Devoted Father","2020-01-18"
"Shameless (U.S.): Season 1: Killer Carl","2020-01-18"
"Shameless (U.S.): Season 1: Three Boys","2020-01-17"
"Shameless (U.S.): Season 1: Casey Casden","2020-01-15"
"Shameless (U.S.): Season 1: Aunt Ginger","2020-01-15"
"Shameless (U.S.): Season 1: Frank the Plank","2020-01-14"
"Shameless (U.S.): Season 1: Pilot","2020-01-14"
"Shameless: Series 4: Episode 1","2020-01-12"
"The Shape of Water","2020-01-12"
